Mã tài sản,Loại,Địa chỉ,Trạng thái Kho,Trạng thái Niêm yết,POS,Người tạo,Thời gian tạo,Người quản lý tài sản,Người duyệt LV1 (Giám đốc Pos),Thời gian duyệt,Người duyệt lv2 (nhân viên marketing duyệt tin đăng),Thời gian duyệt đăng tin,Thời gian hết hạn tin đăng,Người cập nhật tài sản,Thời gian đề xuất,Người duyệt cập nhật tài sản,Thời gian duyệt cập nhật tài sản,Người đề xuất Gỡ tin đăng,Thời gian gửi đề xuất gỡ tin,Người duyệt Gỡ tin,Thời gian duyệt gỡ tin,Người đề xuất Gỡ nguồn,Thời gian đề xuất Gỡ nguồn,Người duyệt đề xuất Gỡ nguồn,Thời gian duyệt đề xuất Gỡ nguồn
"LS-00011","Bán","Sunrise City, 17 Nguyễn Hữu Thọ, P.Tân Hưng, Q.7, TP.HCM","Được đảm bảo","Chưa niêm yết","POS Q1","Lê Đức Tài","21:00 05/05/2026","","Hồng Bảo Quân","20:11 11/05/2026","","","","","","","","","","","","","","",""
"LS-00012","Thuê","Vinhomes Central Park, 720A Điện Biên Phủ, P.22, Bình Thạnh, TP.HCM","Được duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","16:00 02/05/2026","","Hồng Bảo Quân","17:00 04/05/2026","","","","","","","","","","","","","","",""
"LS-00013","Bán","Masteri Thảo Điền, 159 Xa Lộ Hà Nội, P.Thảo Điền, Q.2, TP.HCM","Được đảm bảo","Chưa niêm yết","POS Q1","Lê Đức Tài","17:00 26/04/2026","","Hồng Bảo Quân","18:00 29/04/2026","","","","","","","","Nguyễn Thị MKT","23:00 05/05/2026","","","","","",""
"LS-00014","Thuê","The Gold View, 346 Bến Vân Đồn, P.1, Q.4, TP.HCM","Được duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","16:00 28/04/2026","","Hồng Bảo Quân","21:00 30/04/2026","","","","","","","","","","","","","","",""
"LS-00015","Bán","Saigon Royal, 34 Bến Vân Đồn, P.12, Q.4, TP.HCM","Được duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","15:00 03/05/2026","","Hồng Bảo Quân","17:00 05/05/2026","","","","","","","","","","","","","","",""
"LS-00016","Bán","77, đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh","Chờ duyệt đảm bảo","Chưa niêm yết","POS Q1","Lê Đức Tài","21:36 08/05/2026","","","","","","","","","","","","","","","","","",""
"LS-00017","Bán","32, đường Bùi Thị Xuân, Phường 6, Quận 8, TP. Hồ Chí Minh","Bị từ chối","Chưa niêm yết","POS Q1","Lê Đức Tài","21:37 08/05/2026","","","","","","","","","","","","","","","","","",""
"LS-00018","Bán","23, đường Võ Thị Sáu, Phường 2, Quận 3, TP. Hồ Chí Minh","Chờ duyệt đảm bảo","Chưa niêm yết","POS Q1","Lê Đức Tài","21:47 08/05/2026","","","","","","","","","","","","","","","","","",""
"LS-00019","Thuê","145/25, đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, TP. Hồ Chí Minh","Chờ duyệt đảm bảo","Chưa niêm yết","POS Q1","Lê Đức Tài","01:57 09/05/2026","","","","","","","","","","","","","","","","","",""
"LS-00020","Bán","111, đường Võ Văn Kiệt, Thị trấn Cần Thạnh, Huyện Cần Giờ, TP. Hồ Chí Minh","Chờ POS duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","02:02 09/05/2026","","","","","","","","","","","","","","","","","",""
"LS-00021","Thuê","145/26, đường Lê Văn Quới, Phường Bình Trị Đông, Quận Bình Tân, TP. Hồ Chí Minh","Chờ duyệt đảm bảo","Chưa niêm yết","POS Q1","Lê Đức Tài","02:25 09/05/2026","","","","","","","","","","","","","","","","","",""
"LS-00022","Bán","12, đường Le Loi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh","Chờ POS duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","19:47 11/05/2026","Lê Đức Tài","","","","","","","","","","","","","","","","",""
"LS-00022","Bán","123, đường Le Loi, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh","Mới","Chưa niêm yết","POS Q1","Lê Đức Tài","02:52 15/05/2026","Lê Đức Tài","","","","","","","","","","","","","","","","",""
"LS-00022","","Test","","","","","","","","","","","","","","","","","","","","","","",""
"LS-00023","Bán","789, đường Lê Duẩn, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh","Chờ POS duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","02:57 15/05/2026","Lê Đức Tài","","","","","","","","","","","","","","","","",""
"LS-00024","Bán","25, đường Tôn Đức Thắng, Phường Bến Nghé, Quận 1, TP. Hồ Chí Minh","Được đảm bảo","Đang niêm yết","POS Q1","Lê Đức Tài","03:05 15/05/2026","Lê Đức Tài","Hồng Bảo Quân","03:14 15/05/2026","Nguyễn Thị MKT","04:00 15/05/2026","04:00 14/06/2026","","","","","","","","","","","",""
"LS-00025","Thuê","111, đường Bình Long, Phường An Lạc, Quận Bình Tân, TP. Hồ Chí Minh","Được duyệt","Chưa niêm yết","POS Q1","Lê Đức Tài","03:10 15/05/2026","Lê Đức Tài","Hồng Bảo Quân","03:14 15/05/2026","","","","","","","","","","","","","","",""
